,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,brian_brianr,Family SciFi Social Democrat Arsenal Back roads PPO Serve = The Value Care Team (TVCT),"Johannesburg, South Africa",2385,1119,64412,0,"The Economist’s argument reflects a fundamental misunderstanding of US history, an economic tradition is rooted in the ideas of Hamilton, Lincoln, Teddy &amp; Franklin Roosevelt &amp; Dwight Eisenhower, who recognized the need for a developmental state and the dangers of rent-seeking.",[]
1,delia72_delia,✋Love💙#OurNHS,,4948,4117,218594,2,"""The kinds of offers that we're getting from the govt.. are just not compatible with being able to live, to pay our rent, to buy food, to look after our families.. we have absorbed the cuts for 10yrs &amp; now enough is enough""

Solidarity with Preya &amp; all members of @theRCN today https://t.co/wsRx4j8iga",[]
2,pompompur1ns,˗ˏˋ ♡ ˎˊ˗  21 • she/her ♀ • @vampyrloser ˗ˏˋ ♡ ˎˊ˗,,70,61,764,0,people trying to sell and rent on facebook vs me asking 500 questions,[]
3,Maffinie2,GOD FIRST // UGANDA CRANES 🇺🇬 //SC VILLA UG🇺🇬 // ARSENAL DIEHARD //MESSI DIEHARD//BUSINESS MAN,Earth,7295,6630,49480,10,"So you used rent money to buy your hood nigghs tickets? Huh? 
#KadodiKarnival2ndEdition 
#VisitMbale https://t.co/o3t3iNTSys","['KadodiKarnival2ndEdition', 'VisitMbale']"
4,sikthmin,#YOONGI: jimin living with his lovely taehyung •⁽khh⁾ fan account,22she,190,1105,72296,1804,now because we need to talk about how good of dancer taehyung is .. like stop playing with him RENT WAS DUE  https://t.co/gDthRe8cA5,[]
5,strellita86,"Viajera empedernida ✈️ amante de los gatos, enganchada a la cultura asiática y loca por los Sujus,Big Bang,Eric Nam y Loco😍 ¡Cero dramas baby!","Valencia, España",1090,209,8128,33,"In the meantime, until May 5, it is available for both rent and purchase in the US, UK, Mexico and Latin America, Spain, Australia and Canada.",[]
6,ClaudiaGeorgios,Political correctness is fascism pretending to be manners. ~ George Carlin. Hate capitalism. “One man’s GREED is another man’s tragedy.” No need to Wake Me Up🌍,"Rotterdam, Kralingen 🇳🇱🌳🍂",434,1555,134833,2,"""The kinds of offers that we're getting from the govt.. are just not compatible with being able to live, to pay our rent, to buy food, to look after our families.. we have absorbed the cuts for 10yrs &amp; now enough is enough""

Solidarity with Preya &amp; all members of @theRCN today https://t.co/wsRx4j8iga",[]
7,Gena8864Gena,,,49,4,22474,548,"Starting on Friday May 5, Phantom will begin its streaming tour across the globe. The film will be available for rent everywhere, but for purchase it will be available only on a country by country basis over the next 15 weeks. More details coming. https://t.co/EbXN6ivPKg",[]
8,naolloll,🤤,naolol#9344,758,204,1855,0,@notinvane bros renting a egirl call that shit rent a girlfriend 😭😭,[]
9,safeheavenhypen,write with your heart.,she/they,133,167,400,278,heeseung selcas who lives in my mind rent free https://t.co/aRwHJNqjyC,[]
10,amelodyofBTOB,"fan account for @OFFICIALBTOB @CUBE_PTG @pledis_17 | 151021 #BTOB1stWin | 201020 #PENTAGON1stWin | 201124 #BTOB4U1stWin | she/her, 18+ | 220227 and counting",Peniel's mixtape on the link!!,1128,398,57812,0,"btob harmonizes like they are way beyond their rent and everything is on fire
https://t.co/hMvBYslGDQ https://t.co/IEMMOLcj7l",[]
11,za_lay_ka,"˗ˏˋ ❦ O!R U G4Y,2? • she/her • 21 ❦ ˎˊ˗","Brisbane, Queensland",290,536,96649,0,gawd the bit in mockingjay where she’s like “you asked me to convince you that i am in love with peeta. haven’t i at least done that” and snow says “it’s the things we love the most that destroy us”. this lives rent free in my Mind,[]
12,BakerSonPeekay,"13 to a dozen, absoloodle; but retweets are not necessarily endorsements.",,3433,1336,451457,2789,"On top of a $174,000 annual salary, members of Congress will now have their rent, utilities, and meals paid for by the taxpayers.

Politicians shouldn't be able to insulate themselves from the inflation they caused and then stick taxpayers with the bill.",[]
13,TurnkeyProUAE,,,0,28,2183,0,"Apartment for Rent In Dubai Creek Harbour, Dubai

FULL SEA VIEW 2 BEDROOMS ON HIGHER FLOOR

• Covered Parking
• Walk-in Closet and Built in Wardrobes
• Near Public Transportation and Mall
• Central Air Conditioning

Status: For Rent
Size: 1,227 Sq. F… https://t.co/XLOfvtXO93 https://t.co/VDQb12L95F",[]
14,guru98790,"Software Engineer , 

#தமிழ்நாடு","Tamil Nadu, India",537,91,32097,4,"Urgently in need of an 1 bhk flat located within 3 km from IIT Velachery gate. Rent within 15k. Any leads would be of great help
#AskingForAFriend",[]
15,ladykil80826812,eater of realms 🐍 palawa from Neuonne country,"Bussy, France",321,233,10053,0,@jonkytonk i think Ghost Malone just couldn’t make rent this week 😒 because i just got back from the light and they said they haven’t trapped any spectres in weeks,[]
16,SigmaBunny,"They/them/xe/xyr, Nonbunnary! Audiodrama lover, TTRPG player and GM Ace Enby Banner by @starsleeps @SigmaBunny@disabled.social https://t.co/bwlX2THNwM",Ngarigo country,1067,140,8050,74,"Food $200
Data $150
Rent $800
Tax cuts for the rich $254,000,000,000
Utility $150
someone who is good at the economy please help me budget this. my family is dying",[]
17,Shifter_SD98,"'I ALWAYS BELIEVE THAT I'M ALWAYS RIGHT ' some gaming and some , Mechamato , Power Rangers , Ultraman & Kamen Rider stuff & fanarts ! (he/him/25)",Malaysia 🇲🇾,1392,614,64831,133,"Rent-A-Hero No.1 for Sega Dreamcast English Patch is out today!

This game is remake from the Sega Mega Drive and Action RPG that was worked on by VincentNL fully in english, the VMU also translated aswell!

https://t.co/SyYwbUIVJI https://t.co/al2nTA2Bgt",[]
18,Kancella_Empire,ALWAYS ON THE MOVE..!!!🚶🚶🚶🚶,,5040,2877,93567,88,"Fmr. President Kenyatta wants TAXPAYERS to pay him RENT to use his  house along State House Road as the Retired President's Office.

He wants an evaluation of the multi-million home to be done &amp; a monthly bill passed to Hustler Nation as rent. https://t.co/w3i9d91lvH",[]
19,CircusMonkey16,,,901,482,60331,191,"The ‘Rent a mob’ turn up to protest against a women’s rights  rally in London.
Antifa pretend that they’re the good guys, yet they cover their faces and threaten, they are domestic terrorists.

Utter Cowards
#LetWomenSpeak https://t.co/9dZsGYYBu9",[]
20,TheDracula01,,,480,1349,66162,10,Clever Brahmin folks.. they know that if they demand rent.. they could be sent to jail under Esstee Bus Act... LOL!... Animals have instincts... https://t.co/xnMqAdgqJK,[]
21,Evangugi,,Kenyan,480,116,1440,54,"The goal of saving and investing is to have your passive income replace your salary.

You achieve financial independence when you can use your passive income to fully finance your lifestyle.

That's why you have to keep buying cash producing assets like you buy food or pay rent.",[]
22,Miftahu56559849,,,0,0,50,0,"""Did the Top Student Get a Cutie Today?"" is an absolutely perfect comic! It's living rent free in my head!
 
#Wednesdayvibe #NFTProject #sketchbook

https://t.co/8Q6BK1Guxq https://t.co/LIuNMxCUaM","['Wednesdayvibe', 'NFTProject', 'sketchbook']"
23,CWThompson1965,"57 - F1 Fanatic, THFC fan, Working Class Tory, Brexiteer, Petrolhead, Animal lover, love Cricket, Darts, Boxing - VERY Anti Woke - Woman = Adult Human Female",Grockle Territory,414,371,16660,2,"I'll translate.

Less properties to rent, now. https://t.co/uJHz8Vf4wk",[]
24,dazdesb,Physio for 30yrs; retired. Stockbroker 7yrs; retired. RETIRED to family. Believe in social rights & responsibilities for us all.,"Gladstone, Queensland",704,672,33843,2,"@BelindaJones68 I disagree Bee 
Buying subs/s3 tax cuts etc is akin to going on a 20k holiday and not paying rent for 3months, but crying to your landlord about competing financial commitments!
Load of bollocks. 
It's a choice. #RaiseTheRate",[]
25,GingerOrGran,,"Georgia, USA",294,398,25593,2789,"On top of a $174,000 annual salary, members of Congress will now have their rent, utilities, and meals paid for by the taxpayers.

Politicians shouldn't be able to insulate themselves from the inflation they caused and then stick taxpayers with the bill.",[]
26,CAVECV1000,"He/They 21, Shmup/STG (Addict) Enjoyer! I like Video Games, Film, Animanga, and Pepperoni Pizza! 

Turn off RT's if you want, I RT a lot!!!","New Jersey, USA",1605,63,6245,133,"Rent-A-Hero No.1 for Sega Dreamcast English Patch is out today!

This game is remake from the Sega Mega Drive and Action RPG that was worked on by VincentNL fully in english, the VMU also translated aswell!

https://t.co/SyYwbUIVJI https://t.co/al2nTA2Bgt",[]
27,CypressDahlia,"This is NOT an art account, just a shit-talking account that I occasionally post art to. If you want just art, go here: https://t.co/YcA5fbdQlB",,86,2667,2849,133,"Rent-A-Hero No.1 for Sega Dreamcast English Patch is out today!

This game is remake from the Sega Mega Drive and Action RPG that was worked on by VincentNL fully in english, the VMU also translated aswell!

https://t.co/SyYwbUIVJI https://t.co/al2nTA2Bgt",[]
28,TYonClubhouse,"Originate, launch financial products @ 🦢 e.g., IRA, TLH ✋| Past: Harvard Law. Wall Street trading floor. Startups. | Views Mine. Not Advice. BT is my testnet.",SoCal 🌦️ 🇺🇸,1840,9501,36237,0,It's OK to rent. People do it en masse globally. But build more housing. https://t.co/2eEmDmJ4VT,[]
29,jayceechris,,,41,18,23,0,@ARIANAFANN11 and the others followed afterwith a cry that rent the air,[]
30,wilkre,Real Estate Agency in Brooklyn and Miami,"Brooklyn, NY",41,495,173714,0,"133 NE 2nd Ave #517, Miami, FL 33132

For Rent $2300 1/1 Modern Condo unit, open floor plan with high ceilings. Unobstructed views of Miami. Unit comes with Italian white kitchen cabinets and stainless steel appliances. Full Size washer / dryer in uni...
https://t.co/151DsRp7k9 https://t.co/f62HT6I8ig",[]
31,j_b_cline,Engineer • Baseball Fan • Motor Racing Fan • Aviation Geek • Dog Owner • Inventor •,,327,179,19796,1107,"There is such a bad housing crisis in Australia 

Few in the USA could begin to understand 

Rent is sometimes doubled 

Less than 1% vacancy 

Lines to view homes 

Small homes $1.45 million

Gov solution? Letting in another 715,000 immigrants &amp; telling citizens to suck it up",[]
32,enhygge_,#엔하이픈: my safe haven ♡︎ • i miss Jakehoon 24/7 • 230205 (pcd pa rin huhu),모이 • she/her • 19 • 댕댕냥즈 ♡,627,195,60928,278,heeseung selcas who lives in my mind rent free https://t.co/aRwHJNqjyC,[]
33,TheDracula01,,,480,1349,66162,2,"Know of several instances where Ms, Xtians rent only to their religion Not only that my nephew  was explicitly told he cannot put pics of Hindu Gods or symbols. Best part was the crypto had a Hindu sounding name. Only when Brahmins assert their rights it burns these dullits @$$e$ https://t.co/IldLC6ZehC",[]
34,lmay4949,,,2310,1193,74033,2789,"On top of a $174,000 annual salary, members of Congress will now have their rent, utilities, and meals paid for by the taxpayers.

Politicians shouldn't be able to insulate themselves from the inflation they caused and then stick taxpayers with the bill.",[]
35,castrojiggs,Don't bullshit a bullshitter who's been there and back many times than you'll ever know.#TeamManUnited.,NAKURU KENYA,978,417,20842,88,"Fmr. President Kenyatta wants TAXPAYERS to pay him RENT to use his  house along State House Road as the Retired President's Office.

He wants an evaluation of the multi-million home to be done &amp; a monthly bill passed to Hustler Nation as rent. https://t.co/w3i9d91lvH",[]
36,shaddykym,"Son. Husband .Dad. Pharmacists. 

Always striving to achieve best👌💖","Nairobi, Kenya",256,500,62668,88,"Fmr. President Kenyatta wants TAXPAYERS to pay him RENT to use his  house along State House Road as the Retired President's Office.

He wants an evaluation of the multi-million home to be done &amp; a monthly bill passed to Hustler Nation as rent. https://t.co/w3i9d91lvH",[]
